Country or Area;ISO-aplha3 Code;Continent
Islamic Republic of Iran;;Asia
Bolivia;;South America
Côte d'Ivoire;;Africa
People's Republic of China;;Asia
Great Britain;;Europe
Venezuela;;South America
Vietnam;;Asia
Chinese Taipei;;Asia
Kosovo;;Europe
Hong Kong; China;;Asia
Virgin Islands, US;;North America
Democratic Republic of Timor-Leste;;Asia
Refugee Olympic Team;;NA
Palestine;;Asia
Virgin Islands, British;;North America
Federated States of Micronesia;;Oceania
AIN;;NA
St Vincent and the Grenadines;;North America
Türkiye;;Asia