English;Portuguese
Great Britain;Grã-Bretanha
ROC;ROC
People's Republic of China;China
Republic of Korea;Coréia do Sul
Islamic Republic of Iran;Irã
Republic of Moldova;Moldávia
Chinese Taipei;Taipei
Bermuda;Bermuda
Hong Kong, China;Hong Kong, China
North Macedonia;Macedônia do Norte
Côte d'Ivoire;Costa do Marfim
Kosovo;Kosovo
Syrian Arab Republic;Síria
Puerto Rico;Porto Rico
Olympic Athletes from Russia;Atletas Olímpicos da Rússia
Russian Federation;Rússia
Democratic People's Republic of Korea;Coréia do Norte
Independent Olympic Athletes;Atletas Olímpicos Independentes
Serbia and Montenegro;Sérvia e Montenegro
Unified Team;Time Unificado
Czechoslovakia;Tchecoslováquia
Federal Republic of Germany;Alemanha Ocidental
Soviet Union;União Soviética
German Democratic Republic (Germany);Alemanha Oriental
Yugoslavia;Iugoslávia
Netherlands Antilles;Antilhas Holandesas
Virgin Islands, US;Ilhas Virgens Americanas
United Republic of Tanzania;Tanzânia
West Indies Federation;Federação das Índias Ocidentais
United Arab Republic;República Árabe Unida
Australasia;Australásia
Bohemia;Boémia
MIX;MIX
Democratic Republic of Timor-Leste;Timor Leste
American Samoa;Samoa Americana
Refugee Olympic Team;Time Olímpico de Refugiados
Aruba;Aruba
Cook Islands;Ilhas Cook
Eswatini;Essuatíni
Guam;Guam
Palestine;Palestina
Lao People's Democratic Republic;Laos
Virgin Islands, British;Ilhas Virgens Britânicas
The Former Yugoslav Republic of Macedonia;Macedônia
Korea Team;Coréia
Ivory Coast;Costa do Marfim
Congo;Congo
Refugee Olympic Athletes;Atletas Olímpicos Refugiados
US Virgin Islands;Ilhas Virgens Americanas
Federated States of Micronesia;Micronésia
Cayman Islands;Ilhas Cayman
British Virgin Islands;Ilhas Virgens Britânicas
Yemen Arab Republic;República Árabe do Iêmen
Yemen Democratic Republic;República Democrática do Iêmen
South Vietnam;Vietnã do Sul
Rhodesia;Rodésia
Malaya;Malásia
North Borneo;Bornéu
Saar;Saar
Newfoundland;Terra Nova